Sample,Treatment,Depth,Block,Description,Bac_QPCR,Fun_QPCR,B.Density_gcm3,Sand_percent,Silt_percent,Clay_percent,TexturalClass,pH, No3_ugPerg, Nh4_ugPerg,N_percent,C_percent,C_N_ratio,Glucosidase_(mg pnit/kgsoil/hr.calc061214),Glucosaminidase_(mg pnit/kgsoil/hr;calc061214),Urease(mg_NH4/kg_soil/hr)
FSP52,CT,Ap30,3,CTAp303,9.55587E+11,875602.6333,1.58,13.7,53.9,32.4,Silty Clay Loam,6.95,2.065,0.755,0.04,0.31,8.51,45.4,73.3,
FSP53,CT,30_60,3,CT30_603,2.74103E+11,745343.175,1.57,9.2,51.6,39.2,Silty Clay Loam,6.75,1.59,1.09,0.04,0.25,6.41,34.0,62.0,
FSP54,CT,60_100,3,CT60_1003,1.00E+07,456.9595995,,,,,,,,,,,,,,
FSP55,NT,0_5,4,NT0_54,3.50061E+13,23316925.39,1.36,25.9,60.0,14.2,Silt Loam,6.60,5.15,3.475,0.16,1.73,10.90,332.6,150.8,29.1
FSP56,NT,5_10,4,NT5_104,2.0868E+13,7354155.056,1.46,26.0,59.4,14.5,Silt Loam,6.78,4.295,0.419,0.12,1.23,9.99,207.0,101.6,18.3
FSP57,NT,10Ap,4,NT10Ap4,7.03599E+12,3134942.242,1.48,22.0,60.6,17.4,Silt Loam,6.86,2.795,0.985,0.07,0.73,10.19,74.7,130.1,10.4
FSP58,NT,Ap30,4,NTAp304,2.08771E+11,694850.3001,1.53,12.1,58.4,29.5,Silty Clay Loam,6.80,2.775,1.005,0.03,0.26,9.13,57.3,64.2,4.1
FSP59,NT,30_60,4,NT30_604,9.30474E+11,1743391.764,1.59,12.9,56.2,30.9,Silty Clay Loam,5.53,2.63,1.165,0.03,0.21,7.54,32.8,46.6,
FSP60,NT,60_100,4,NT60_1004,1.00E+07,11739.62306,,,,,,,,,,,,,,
FSP61,CT,0_5,4,CT0_54,2.87115E+13,31575264.36,1.33,29.2,58.2,12.6,Silt Loam,6.13,4.63,0.76,0.11,1.18,10.65,214.8,140.5,24.1
FSP62,CT,5_10,4,CT5_104,2.71299E+13,18571750.84,1.36,29.0,58.0,13.0,Silt Loam,6.39,4.385,0.85,0.10,1.07,10.61,275.9,132.3,21.7
FSP63,CT,10Ap,4,CT10Ap4,9.70002E+12,10897062.62,1.44,26.1,58.8,15.2,Silt Loam,6.62,2.665,1.075,0.07,0.72,11.01,94.2,163.7,17.8
FSP64,CT,Ap30,4,CTAp304,4.24498E+11,1476021.671,1.59,19.5,56.4,24.1,Silt Loam,6.63,2.09,0.815,0.03,0.23,8.94,36.0,52.1,
FSP65,CT,30_60,4,CT30_604,1640436133,893357.9167,1.64,24.4,50.7,25.0,Silt Loam,5.73,2.45,1.71,0.02,0.14,6.79,42.7,39.6,5.5
FSP66,CT,60_100,4,CT60_1004,1.00E+07,149.0421626,,,,,,,,,,,,,,
FSP67,Org3,0_5,4,Org30_54,1.06526E+12,32692545.08,1.51,25.2,59.5,15.3,Silt Loam,6.41,12.5,0.915,0.14,1.59,11.17,421.3,155.7,25.2
FSP68,Org3,5_10,4,Org35_104,8.51913E+11,17791660.47,1.33,24.6,59.7,15.6,Silt Loam,6.76,8.6,0.91,0.14,1.56,10.91,149.8,306.6,23.8
FSP69,Org3,10Ap,4,Org310Ap4,3.34917E+11,5677883.318,1.45,24.4,58.2,17.4,Silt Loam,6.83,6.5,0.715,0.10,1.02,10.68,147.4,52.3,12.2
FSP70,Org3,Ap30,4,Org3Ap304,18327568960,1165647.786,1.59,20.7,50.8,28.6,Clay Loam,6.90,4.25,0.91,0.03,0.30,10.84,44.0,62.1,2.6
FSP71,Org3,30_60,4,Org330_604,7551898946,1221801.075,1.59,19.3,47.4,33.3,Silty Clay Loam,5.86,3.4,1.39,0.03,0.19,7.16,51.1,57.6,
FSP72,Org3,60_100,4,Org360_1004,1.00E+07,107.6038081,,,,,,,,,,,,,,
